Key,English,Ukrainian
PROPQUEST_REQUESTBOX_INC_000084,Mule needs you to collect Tarin roots.,Mule needs you to collect Tarin roots.
PROPQUEST_REQUESTBOX_INC_000089,Lyangglatang,Lyangglatang
PROPQUEST_REQUESTBOX_INC_000090,Rooney wants you to collect Nyanyangs for her party. Will you help?,Rooney wants you to collect Nyanyangs for her party. Will you help?
PROPQUEST_REQUESTBOX_INC_000095,Rooney needs you to collect Nyanyangs.,Rooney needs you to collect Nyanyangs.
PROPQUEST_REQUESTBOX_INC_000100,10 Year anniversary gift,10 Year anniversary gift
PROPQUEST_REQUESTBOX_INC_000101,Marche wants you to collect Starstones to make a 10 year anniversary gift. Will you help?,Marche wants you to collect Starstones to make a 10 year anniversary gift. Will you help?
PROPQUEST_REQUESTBOX_INC_000106,Marche needs Starstones,Marche needs Starstones
PROPQUEST_REQUESTBOX_INC_000111,Liquor for Dunkan,Liquor for Dunkan
PROPQUEST_REQUESTBOX_INC_000112,Dunkan needs you to collect Golden Wings to make a new liquor. Will you help?,Dunkan needs you to collect Golden Wings to make a new liquor. Will you help?
PROPQUEST_REQUESTBOX_INC_000117,Dunkan wants Golden Wings.,Dunkan wants Golden Wings.
PROPQUEST_REQUESTBOX_INC_000122,Sweet Dessert,Sweet Dessert
PROPQUEST_REQUESTBOX_INC_000123,Damian needs you to collect Blue Honey to make a new dessert. Will you help?,Damian needs you to collect Blue Honey to make a new dessert. Will you help?
PROPQUEST_REQUESTBOX_INC_000128,Damian needs Blue Honey,Damian needs Blue Honey
PROPQUEST_REQUESTBOX_INC_000133,Blessed Doll,Blessed Doll
PROPQUEST_REQUESTBOX_INC_000134,House of Children needs you to collect Mia Dolls as presents for the children. Will you help?,House of Children needs you to collect Mia Dolls as presents for the children. Will you help?
PROPQUEST_REQUESTBOX_INC_000139,House of Children wants Mia Dolls.,House of Children wants Mia Dolls.
PROPQUEST_REQUESTBOX_INC_000144,Lost Documents,Lost Documents
PROPQUEST_REQUESTBOX_INC_000145,Julia needs you to collect office documents stolen by the Mias. Will you help?,Julia needs you to collect office documents stolen by the Mias. Will you help?
PROPQUEST_REQUESTBOX_INC_000150,Julia wants the office documents that the mia stole.,Julia wants the office documents that the mia stole.
PROPQUEST_REQUESTBOX_INC_000155,Brightly Burning Flame,Brightly Burning Flame
PROPQUEST_REQUESTBOX_INC_000156,Bozman needs you to collect furious matches to use at his blast furnace. Will you help?,Bozman needs you to collect furious matches to use at his blast furnace. Will you help?
PROPQUEST_REQUESTBOX_INC_000161,Bozman wants furious matches,Bozman wants furious matches
PROPQUEST_REQUESTBOX_INC_000166,Unknown Situation (2),Unknown Situation (2)
PROPQUEST_REQUESTBOX_INC_000167,Flaris Pang needs you to collect unknown letters.,Flaris Pang needs you to collect unknown letters.
PROPQUEST_REQUESTBOX_INC_000172,Flaris Pang needs unknown letters again.,Flaris Pang needs unknown letters again.
PROPQUEST_REQUESTBOX_INC_000177,Delicious Sauce,Delicious Sauce
PROPQUEST_REQUESTBOX_INC_000178,Kalin needs you to collect Cardrin to make delicious sauce.,Kalin needs you to collect Cardrin to make delicious sauce.
PROPQUEST_REQUESTBOX_INC_000183,Kalin wants Cardrin.,Kalin wants Cardrin.
PROPQUEST_REQUESTBOX_INC_000188,Magic Orb,Magic Orb
PROPQUEST_REQUESTBOX_INC_000189,Martin needs Hammarble to make a Magic Orb. Will you help?,Martin needs Hammarble to make a Magic Orb. Will you help?
PROPQUEST_REQUESTBOX_INC_000194,Martin wants Hammarbles.,Martin wants Hammarbles.
PROPQUEST_REQUESTBOX_INC_000199,Mark of Bill,Mark of Bill
PROPQUEST_REQUESTBOX_INC_000200,Bill needs you to collect Gigglande so that he can make his mark. Will you help?,Bill needs you to collect Gigglande so that he can make his mark. Will you help?
PROPQUEST_REQUESTBOX_INC_000205,Bill wants Gigglande.,Bill wants Gigglande.
PROPQUEST_REQUESTBOX_INC_000210,Repair Work on Saint Hall,Repair Work on Saint Hall
PROPQUEST_REQUESTBOX_INC_000211,Helena needs you to collect Crescent Stones to repair Saint Hall. Will you help?,Helena needs you to collect Crescent Stones to repair Saint Hall. Will you help?
PROPQUEST_REQUESTBOX_INC_000216,Helena wants $QUEST_END_ITEM_NAME$.,Helena wants $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000221,Helping injured animals,Helping injured animals
PROPQUEST_REQUESTBOX_INC_000222,Madrigal Animal Association needs you to collect Bobands to help their injured animals. Will you help?,Madrigal Animal Association needs you to collect Bobands to help their injured animals. Will you help?
PROPQUEST_REQUESTBOX_INC_000227,Madrigal Animal Association wants Bobands.,Madrigal Animal Association wants Bobands.
PROPQUEST_REQUESTBOX_INC_000232,Strange Collector,Strange Collector
PROPQUEST_REQUESTBOX_INC_000233,Strange Collector needs you to collect Dumblings for his collection. Will you help?,Strange Collector needs you to collect Dumblings for his collection. Will you help?
PROPQUEST_REQUESTBOX_INC_000243,For the Wife,For the Wife
PROPQUEST_REQUESTBOX_INC_000244,Mayer needs Kalin to make a present for his wife. Will you help?,Mayer needs Kalin to make a present for his wife. Will you help?
PROPQUEST_REQUESTBOX_INC_000249,Mayer wants Kalin.,Mayer wants Kalin.
PROPQUEST_REQUESTBOX_INC_000254,Weak Heart,Weak Heart
PROPQUEST_REQUESTBOX_INC_000255,Helena needs clock hearts to make a new heart for her sick brother. Will you help?,Helena needs clock hearts to make a new heart for her sick brother. Will you help?
PROPQUEST_REQUESTBOX_INC_000265,Devil Marble,Devil Marble
PROPQUEST_REQUESTBOX_INC_000266,Bill needs Tomb Marbles to make the Devil Marble. Will you help?,Bill needs Tomb Marbles to make the Devil Marble. Will you help?
PROPQUEST_REQUESTBOX_INC_000271,Bill wants Tomb Marbles.,Bill wants Tomb Marbles.
PROPQUEST_REQUESTBOX_INC_000276,Dream of the Fighter,Dream of the Fighter
PROPQUEST_REQUESTBOX_INC_000277,Fighter needs you to collect Golden Fists to make a golden glove. Will you help?,Fighter needs you to collect Golden Fists to make a golden glove. Will you help?
PROPQUEST_REQUESTBOX_INC_000282,Fighter wants Golden Fists.,Fighter wants Golden Fists.
PROPQUEST_REQUESTBOX_INC_000287,Marbles for the Son,Marbles for the Son
PROPQUEST_REQUESTBOX_INC_000288,Mayer needs orbin to make marbles for his son. Will you help?,Mayer needs orbin to make marbles for his son. Will you help?
PROPQUEST_REQUESTBOX_INC_000293,Mayer wants orbin.,Mayer wants orbin.
PROPQUEST_REQUESTBOX_INC_000298,Strange Collector (2),Strange Collector (2)
PROPQUEST_REQUESTBOX_INC_000299,Strange Collector needs you to collect $QUEST_END_ITEM_NAME$ for his collection. Will you help?,Strange Collector needs you to collect $QUEST_END_ITEM_NAME$ for his collection. Will you help?
PROPQUEST_REQUESTBOX_INC_000304,Strange Collector wants $QUEST_END_ITEM_NAME$.,Strange Collector wants $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000309,Lens of Olien,Lens of Olien
PROPQUEST_REQUESTBOX_INC_000310,Olien needs you to collect steam tears to make a new lens. Will you help?,Olien needs you to collect steam tears to make a new lens. Will you help?
PROPQUEST_REQUESTBOX_INC_000315,Olien wants steam tears.,Olien wants steam tears.
PROPQUEST_REQUESTBOX_INC_000320,Red Muffler,Red Muffler
PROPQUEST_REQUESTBOX_INC_000321,Soldier needs you to collect knightlers to make a new scarf. Will you help?,Soldier needs you to collect knightlers to make a new scarf. Will you help?
PROPQUEST_REQUESTBOX_INC_000326,Soldier wants knightler.,Soldier wants knightler.
PROPQUEST_REQUESTBOX_INC_000331,Dwarpet Festival,Dwarpet Festival
PROPQUEST_REQUESTBOX_INC_000332,The Dwarpet needs you to collect wheeshoes for their festival. Will you help?,The Dwarpet needs you to collect wheeshoes for their festival. Will you help?
PROPQUEST_REQUESTBOX_INC_000337,The Dwarpet wants wheesoes.,The Dwarpet wants wheesoes.
PROPQUEST_REQUESTBOX_INC_000342,Crane Repair,Crane Repair
PROPQUEST_REQUESTBOX_INC_000343,The Erons Industrial Manager needs Droil to repair their crane. Will you help?,The Erons Industrial Manager needs Droil to repair their crane. Will you help?
PROPQUEST_REQUESTBOX_INC_000348,Erons want Droils.,Erons want Droils.
PROPQUEST_REQUESTBOX_INC_000353,Urgently looking for a Bandage,Urgently looking for a Bandage
PROPQUEST_REQUESTBOX_INC_000364,Portable Power,Portable Power
PROPQUEST_REQUESTBOX_INC_000375,Strange Collector (3),Strange Collector (3)
PROPQUEST_REQUESTBOX_INC_000386,Replacement Tires,Replacement Tires
PROPQUEST_REQUESTBOX_INC_000387,The Dwarpet needs you to collect Dumptires to replace his flat tires. Will you help?,The Dwarpet needs you to collect Dumptires to replace his flat tires. Will you help?
PROPQUEST_REQUESTBOX_INC_000392,The Dwarpet wants Dumptire.,The Dwarpet wants Dumptire.
PROPQUEST_REQUESTBOX_INC_000397,Strange Collector (4),Strange Collector (4)
PROPQUEST_REQUESTBOX_INC_000398,Mysterious collector needs Garbageton for his collection. Will you help?,Mysterious collector needs Garbageton for his collection. Will you help?
PROPQUEST_REQUESTBOX_INC_000408,Relics of a Husband,Relics of a Husband
PROPQUEST_REQUESTBOX_INC_000409,A widow has asked that you collect Eronior so that she can re-make the ring of her husband. Will you help?,A widow has asked that you collect Eronior so that she can re-make the ring of her husband. Will you help?
PROPQUEST_REQUESTBOX_INC_000414,A widow wants some Eronior.,A widow wants some Eronior.
PROPQUEST_REQUESTBOX_INC_000419,Disguise of Remina,Disguise of Remina
PROPQUEST_REQUESTBOX_INC_000420,Remina needs you to collect repygle to make a pair of disguising sunglasses. Will you help?,Remina needs you to collect repygle to make a pair of disguising sunglasses. Will you help?
PROPQUEST_REQUESTBOX_INC_000425,Remina wants $QUEST_END_ITEM_NAME$.,Remina wants $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000430,Beautiful Keil Wallpaper,Beautiful Keil Wallpaper
PROPQUEST_REQUESTBOX_INC_000431,Haven needs you to collect Sycale to re-model the Magic Shop. Will you help?,Haven needs you to collect Sycale to re-model the Magic Shop. Will you help?
PROPQUEST_REQUESTBOX_INC_000436,Heaven wants Sycale.,Heaven wants Sycale.
PROPQUEST_REQUESTBOX_INC_000441,Strange Collector (5),Strange Collector (5)
PROPQUEST_REQUESTBOX_INC_000442,Strange Collector needs $QUEST_END_ITEM_NAME$ for his collection. Will you help?,Strange Collector needs $QUEST_END_ITEM_NAME$ for his collection. Will you help?
PROPQUEST_REQUESTBOX_INC_000447,Strange collector want Mong Tear,Strange collector want Mong Tear
PROPQUEST_REQUESTBOX_INC_000452,Anesthetic Needs,Anesthetic Needs
PROPQUEST_REQUESTBOX_INC_000463,New Kind of Firework,New Kind of Firework
PROPQUEST_REQUESTBOX_INC_000464,The Fireworks Producer needs Bomb Timers to make a new kind of firework. Will you help?,The Fireworks Producer needs Bomb Timers to make a new kind of firework. Will you help?
PROPQUEST_REQUESTBOX_INC_000465,You get bombtimers from any type of Carrierbomb.,You get bombtimers from any type of Carrierbomb.
PROPQUEST_REQUESTBOX_INC_000469,The Firework Producer wants Bomb Timers.,The Firework Producer wants Bomb Timers.
PROPQUEST_REQUESTBOX_INC_000474,Snack for the Children,Snack for the Children
PROPQUEST_REQUESTBOX_INC_000475,Bolpor needs Prewing to make some snacks for the children. Will you help?,Bolpor needs Prewing to make some snacks for the children. Will you help?
PROPQUEST_REQUESTBOX_INC_000480,Bolpor wants Prewing.,Bolpor wants Prewing.
PROPQUEST_REQUESTBOX_INC_000485,Mushroom Farm of Chitller,Mushroom Farm of Chitller
PROPQUEST_REQUESTBOX_INC_000486,Chitller needs you to collect Poiespore for his mushroom farm will you help?,Chitller needs you to collect Poiespore for his mushroom farm will you help?
PROPQUEST_REQUESTBOX_INC_000491,Chitller wants Poiespore.,Chitller wants Poiespore.
PROPQUEST_REQUESTBOX_INC_000496,New Yo-Yo,New Yo-Yo
PROPQUEST_REQUESTBOX_INC_000497,An Acrobat master needs you to gather Renyken to make a new Yo-Yo. Will you help?,An Acrobat master needs you to gather Renyken to make a new Yo-Yo. Will you help?
PROPQUEST_REQUESTBOX_INC_000502,An Acrobat master wants Renyken.,An Acrobat master wants Renyken.
PROPQUEST_REQUESTBOX_INC_000507,Disguise of a Native,Disguise of a Native
PROPQUEST_REQUESTBOX_INC_000508,Darkon natives need you to collect Tangkask. Will you help?,Darkon natives need you to collect Tangkask. Will you help?
PROPQUEST_REQUESTBOX_INC_000513,Darkon natives want Tankask.,Darkon natives want Tankask.
PROPQUEST_REQUESTBOX_INC_000518,Woodworking Material,Woodworking Material
PROPQUEST_REQUESTBOX_INC_000529,The Best Shield,The Best Shield
PROPQUEST_REQUESTBOX_INC_000530,Remina needs Luchest to make the strongest shield in the world. Will you help?,Remina needs Luchest to make the strongest shield in the world. Will you help?
PROPQUEST_REQUESTBOX_INC_000540,Beauty Contest Award,Beauty Contest Award
PROPQUEST_REQUESTBOX_INC_000541,The Madrigal Beauty Contest needs Eronsimint for making an award. Will you help?,The Madrigal Beauty Contest needs Eronsimint for making an award. Will you help?
PROPQUEST_REQUESTBOX_INC_000546,The Madrigal Beauty Contest sponsor wants Eronsimint.,The Madrigal Beauty Contest sponsor wants Eronsimint.
PROPQUEST_REQUESTBOX_INC_000551,Lucky Tool,Lucky Tool
PROPQUEST_REQUESTBOX_INC_000552,Lucky needs Hammamer to make a lucky hammer. Will you help?,Lucky needs Hammamer to make a lucky hammer. Will you help?
PROPQUEST_REQUESTBOX_INC_000557,Lucky wants Hammamer.,Lucky wants Hammamer.
PROPQUEST_REQUESTBOX_INC_000562,Strange Collector (6),Strange Collector (6)
PROPQUEST_REQUESTBOX_INC_000573,Request of Lurif,Request of Lurif
PROPQUEST_REQUESTBOX_INC_000574,Could you do me a favor? I need Phanbubble. Can you help me please?,Could you do me a favor? I need Phanbubble. Can you help me please?
PROPQUEST_REQUESTBOX_INC_000579,Lurif needs many Phanbubbles.,Lurif needs many Phanbubbles.
PROPQUEST_REQUESTBOX_INC_000815,Mysterious Magic Material,Mysterious Magic Material
PROPQUEST_REQUESTBOX_INC_000816,Magician Master requested you to collect Merahook which is a magic material. Will you accept this request?,Magician Master requested you to collect Merahook which is a magic material. Will you accept this request?
PROPQUEST_REQUESTBOX_INC_000817,You can collect them from the group of Chimeradon in the Deadwallderness.,You can collect them from the group of Chimeradon in the Deadwallderness.
PROPQUEST_REQUESTBOX_INC_000826,Avenge Nerky,Avenge Nerky
PROPQUEST_REQUESTBOX_INC_000827,Krinton's pet Bearnerky got killed by the other Bearnerky. Krinton requested you to collect NerkyMane for revenge. Will you accept this request?,Krinton's pet Bearnerky got killed by the other Bearnerky. Krinton requested you to collect NerkyMane for revenge. Will you accept this request?
PROPQUEST_REQUESTBOX_INC_000828,You can collect them from the group of Bearnerky in the Deadwallderness.,You can collect them from the group of Bearnerky in the Deadwallderness.
PROPQUEST_REQUESTBOX_INC_000837,Bolpor's favor,Bolpor's favor
PROPQUEST_REQUESTBOX_INC_000838,Bolpor requested you to collect Rincruet for making some special food. Will you accept this request?,Bolpor requested you to collect Rincruet for making some special food. Will you accept this request?
PROPQUEST_REQUESTBOX_INC_000839,You can collect them from the group of Muffrin in the Deadwallderness.,You can collect them from the group of Muffrin in the Deadwallderness.
PROPQUEST_REQUESTBOX_INC_000848,Toy Materials,Toy Materials
PROPQUEST_REQUESTBOX_INC_000849,A toy merchant requested you to collect Popshift for making fancy toys. Will you accept this request?,A toy merchant requested you to collect Popshift for making fancy toys. Will you accept this request?
PROPQUEST_REQUESTBOX_INC_000850,You can collect them from the group of Popcrank in the Deadwallderness.,You can collect them from the group of Popcrank in the Deadwallderness.
PROPQUEST_REQUESTBOX_INC_000859,Evil Eyed Red Dragon,Evil Eyed Red Dragon
PROPQUEST_REQUESTBOX_INC_000860,Can you please go find Dragon Tooth of the Meteonyker Dragon for me? The Arena Manager Lay requested 5 of them.,Can you please go find Dragon Tooth of the Meteonyker Dragon for me? The Arena Manager Lay requested 5 of them.
PROPQUEST_REQUESTBOX_INC_000861,"You can collect them from Meteonyker. I heard it's in Dekane Dungeon. Be careful, the Meteonyker is very strong! It's  best if you go with a party!","You can collect them from Meteonyker. I heard it's in Dekane Dungeon. Be careful, the Meteonyker is very strong! It's  best if you go with a party!"
PROPQUEST_REQUESTBOX_INC_010000,Moth Infestation,Moth Infestation
PROPQUEST_REQUESTBOX_INC_010001,Tina asked for help with reducing the Mothbee population as they're causing problems with transport. Could you kill 15 of them?,Tina asked for help with reducing the Mothbee population as they're causing problems with transport. Could you kill 15 of them?
PROPQUEST_REQUESTBOX_INC_010002,You can find Mothbee flying inbetween Northern Saint City & Flaris.,You can find Mothbee flying inbetween Northern Saint City & Flaris.
PROPQUEST_REQUESTBOX_INC_010003,You don't want to help? That's okay. We'll find somebody else.,You don't want to help? That's okay. We'll find somebody else.
PROPQUEST_REQUESTBOX_INC_010004,You haven't finished the task yet.,You haven't finished the task yet.
PROPQUEST_REQUESTBOX_INC_010005,Mutated Aibatts,Mutated Aibatts
PROPQUEST_REQUESTBOX_INC_010006,Tina has reported a new kind of Masquerpet called Zendros. Please could you kill 15 of them?,Tina has reported a new kind of Masquerpet called Zendros. Please could you kill 15 of them?
PROPQUEST_REQUESTBOX_INC_010007,You can find Zendros flying between Flaris and Saint morning continents.,You can find Zendros flying between Flaris and Saint morning continents.
PROPQUEST_REQUESTBOX_INC_010008,Dragonflies,Dragonflies
PROPQUEST_REQUESTBOX_INC_010009,Tina asked for help with reducing the Neparuba population as they're causing problems with transport. Could you kill 15 of them?,Tina asked for help with reducing the Neparuba population as they're causing problems with transport. Could you kill 15 of them?
PROPQUEST_REQUESTBOX_INC_010010,You can find Neparuba flying between Flaris and Saint morning continents.,You can find Neparuba flying between Flaris and Saint morning continents.
PROPQUEST_REQUESTBOX_INC_010011,Flybrigen Brigade,Flybrigen Brigade
PROPQUEST_REQUESTBOX_INC_010012,Tina asked for help with reducing the Flybrigen population as they're causing problems with transport. Could you kill 15 of them?,Tina asked for help with reducing the Flybrigen population as they're causing problems with transport. Could you kill 15 of them?
PROPQUEST_REQUESTBOX_INC_010013,You can find Flybrigen flying between Saint Morning and Garden of Rhisis continents.,You can find Flybrigen flying between Saint Morning and Garden of Rhisis continents.
PROPQUEST_REQUESTBOX_INC_010014,Moth Infestation (2),Moth Infestation (2)
PROPQUEST_REQUESTBOX_INC_010015,Tina is asking for further help regarding the Mothbee infestation. Could you get rid of the Lord Mothbee?,Tina is asking for further help regarding the Mothbee infestation. Could you get rid of the Lord Mothbee?
PROPQUEST_REQUESTBOX_INC_010016,You can find the Lord Mothbee flying inbetween Northern Saint City & Flaris.,You can find the Lord Mothbee flying inbetween Northern Saint City & Flaris.
PROPQUEST_REQUESTBOX_INC_010017,Mutated Aibatts (2),Mutated Aibatts (2)
PROPQUEST_REQUESTBOX_INC_010018,Tina is asking for further help regarding the Zendros threat. Could you get rid of the Lord Zendros?,Tina is asking for further help regarding the Zendros threat. Could you get rid of the Lord Zendros?
PROPQUEST_REQUESTBOX_INC_010019,You can find the Lord Zendros flying between Flaris and Saint morning continents.,You can find the Lord Zendros flying between Flaris and Saint morning continents.
PROPQUEST_REQUESTBOX_INC_010020,Dragonflies (2),Dragonflies (2)
PROPQUEST_REQUESTBOX_INC_010021,Tina is asking for further help regarding the Neparuba threat. Could you get rid of the Lord Neparuba?,Tina is asking for further help regarding the Neparuba threat. Could you get rid of the Lord Neparuba?
PROPQUEST_REQUESTBOX_INC_010022,You can find the Lord Neparuba flying between Flaris and Saint morning continents.,You can find the Lord Neparuba flying between Flaris and Saint morning continents.
PROPQUEST_REQUESTBOX_INC_010023,Flybrigen Brigade (2),Flybrigen Brigade (2)
PROPQUEST_REQUESTBOX_INC_010024,Tina is asking for further help regarding the Flybrigen threat. Could you get rid of the Lord Flybrigen?,Tina is asking for further help regarding the Flybrigen threat. Could you get rid of the Lord Flybrigen?
PROPQUEST_REQUESTBOX_INC_010025,You can find the Lord Flybrigen flying between Saint Morning and Garden of Rhisis continents.,You can find the Lord Flybrigen flying between Saint Morning and Garden of Rhisis continents.
PROPQUEST_REQUESTBOX_INC_010026,Flying Circus,Flying Circus
PROPQUEST_REQUESTBOX_INC_010027,Dior asked for help with reducing the Rockepeller population as they're causing problems with transport between Darkon & Flaris. Could you kill 15 of them?,Dior asked for help with reducing the Rockepeller population as they're causing problems with transport between Darkon & Flaris. Could you kill 15 of them?
PROPQUEST_REQUESTBOX_INC_010028,You can find Rockepeller flying between Flaris and Darkon continents.,You can find Rockepeller flying between Flaris and Darkon continents.
PROPQUEST_REQUESTBOX_INC_010029,Zenma Hunting,Zenma Hunting
PROPQUEST_REQUESTBOX_INC_010030,Almani asked for help with reducing the Zenma population as they're causing problems with forestation in Gouthan Mountains. Could you kill 15 of them?,Almani asked for help with reducing the Zenma population as they're causing problems with forestation in Gouthan Mountains. Could you kill 15 of them?
PROPQUEST_REQUESTBOX_INC_010031,You can find Zenma flying above Gouthan Mountains.,You can find Zenma flying above Gouthan Mountains.
PROPQUEST_REQUESTBOX_INC_010032,"Hey look, a flying rat!","Hey look, a flying rat!"
PROPQUEST_REQUESTBOX_INC_010033,"Almani asked for Longwings to be exterminated, as they have been attacking civilians. Could you kill 15 of them?","Almani asked for Longwings to be exterminated, as they have been attacking civilians. Could you kill 15 of them?"
PROPQUEST_REQUESTBOX_INC_010034,You can find Longwings flying South-East of the Clockworks Cage in the mountains.,You can find Longwings flying South-East of the Clockworks Cage in the mountains.
PROPQUEST_REQUESTBOX_INC_010035,Baby Meteonyker,Baby Meteonyker
PROPQUEST_REQUESTBOX_INC_010036,"Almani asked for Fafnirs to be exterminated, before they grow into Dragons! Please could you kill 15 of them?","Almani asked for Fafnirs to be exterminated, before they grow into Dragons! Please could you kill 15 of them?"
PROPQUEST_REQUESTBOX_INC_010037,"You can find Fafnirs flying near the Volcano in Darkon 3, Brekin.","You can find Fafnirs flying near the Volcano in Darkon 3, Brekin."
PROPQUEST_REQUESTBOX_INC_010038,Prehistoric Birds,Prehistoric Birds
